Time,RawValue,Label
23.051,305.9076134191212,relax
23.052,306.3608444323503,relax
23.053,311.7914007022791,relax
23.054,311.81258848400563,relax
23.055,311.13374539718524,relax
23.056,311.54830724471117,relax
23.057,306.59572419496374,relax
23.058,306.64486578662724,relax
23.059,307.2092381285008,relax
23.06,303.89856521767217,relax
23.061,302.91783022242385,relax
23.062,304.79778034260835,relax
23.063,300.1615632751129,relax
23.064,299.87858792881144,relax
23.065,304.1330606385695,relax
23.066,308.2350748330365,relax
23.067,308.10682647643,relax
23.068,312.6833317417396,relax
23.069,309.18336934546113,relax
23.07,312.43713462064255,relax
23.071,312.5385810618482,relax
23.072,311.3847629494885,relax
23.073,306.6367327975956,relax
23.074,309.3209439668017,relax
23.075,303.1939496545244,relax
23.076,299.26716725126215,relax
23.077,302.00822434911265,relax
23.078,299.47473969295123,relax
23.079,300.4858632447868,relax
23.08,301.8781327970089,relax
23.081,303.44914373340276,relax
23.082,305.0809756095106,relax
23.083,308.3012015727333,relax
23.084,310.2634357027073,relax
23.085,309.40323864370936,relax
23.086,312.13178069332,relax
23.087,310.6807915871139,relax
23.088,309.01449922208195,relax
23.089,308.6118234638653,relax
23.09,304.4382687312005,relax
23.091,304.31920299687874,relax
23.092,304.10320364909643,relax
23.093,300.1582279005471,relax
23.094,307.42371965519516,relax
23.095,303.87159512913814,relax
23.096,300.42812707695344,relax
23.097,302.4427151913089,relax
23.098,305.7011531154565,relax
23.099,306.9141060880621,relax
23.1,312.1041383348142,relax
23.101,308.3335808025348,relax
23.102,312.23980412740264,relax
23.103,311.01669030934363,relax
23.104,308.805720769901,relax
23.105,306.17865532939123,relax
23.106,302.7923843640958,relax
23.107,305.340161014367,relax
23.108,302.94112889154786,relax
23.109,304.7264820808683,relax
23.11,299.3232782911931,relax
23.111,299.1370167746631,relax
23.112,303.05351943403906,relax
23.113,305.5787803148094,relax
23.114,306.17047693400485,relax
23.115,305.73795375618437,relax
23.116,309.9895641978045,relax
23.117,312.96586654029613,relax
23.118,311.92112594283793,relax
23.119,312.91261987817495,relax
23.12,312.05751957035244,relax
23.121,307.85049259859113,relax
23.122,305.4605096816216,relax
23.123,306.26754722587657,relax
23.124,300.60232935713907,relax
23.125,301.97989529312116,relax
23.126,302.3071056106161,relax
23.127,298.88188729537615,relax
23.128,300.0772932957218,relax
23.129,301.8403478874372,relax
23.13,309.5403939771962,relax
23.131,306.7645251523385,relax
23.132,311.9350318287543,relax
23.133,310.07867717235933,relax
23.134,308.8947303293401,relax
23.135,305.89472040333226,relax
23.136,304.7512511521481,relax
23.137,304.05057465745864,relax
23.138,304.06888395674594,relax
23.139,304.08346817121475,relax
23.14,300.440124076434,relax
23.141,301.50206289392025,relax
23.142,298.6346127191977,relax
23.143,298.66727419253095,relax
23.144,299.0372237911068,relax
23.145,304.6621197428603,relax
23.146,309.85579536668183,relax
23.147,308.06462014875365,relax
23.148,312.8967192524804,relax
23.149,309.7562621657517,relax
23.15,313.1363327059229,relax
23.151,313.99770647344167,relax
23.152,307.27615369418197,relax
23.153,304.04134134526976,relax
23.154,304.35179223159776,relax
23.155,306.06989236079073,relax
23.156,301.251114403919,relax
23.157,302.8427061374069,relax
23.158,298.8926177792858,relax
23.159,301.8244819222331,relax
23.16,304.5931112119545,relax
23.161,304.8837999016424,relax
23.162,305.71372409660387,relax
23.163,311.95859791968365,relax
23.164,309.9191178934727,relax
23.165,311.5372897478441,relax
23.166,309.9577087878026,relax
23.167,311.91219083907646,relax
23.168,312.53695331975433,relax
23.169,305.88188816400316,relax
23.17,305.4759057365427,relax
23.171,302.9784765154574,relax
23.172,300.6574650693188,relax
23.173,302.4399433135072,relax
23.174,300.40971776863086,relax
23.175,300.7183488768147,relax
23.176,307.77417988394546,relax
23.177,303.8086209992722,relax
23.178,304.9304861646716,relax
23.179,312.83213663850984,relax
23.18,313.4862194392132,relax
23.181,309.39416818378146,relax
23.182,312.54958675962854,relax
23.183,312.35839973346305,relax
23.184,311.33475838749894,relax
23.185,304.0955037991776,relax
23.186,301.8610352514869,relax
23.187,306.74906293397265,relax
23.188,304.4942888862086,relax
23.189,297.8142557492887,relax
23.19,300.9422718649624,relax
23.191,298.434992809674,relax
23.192,303.9376271888818,relax
23.193,303.56359218570367,relax
23.194,304.53110549045556,relax
23.195,309.37791178392376,relax
23.196,312.8948038717889,relax
23.197,312.6502136682001,relax
23.198,313.83850624716496,relax
23.199,307.8618498422778,relax
23.2,309.736784727421,relax
23.201,306.7456486127279,relax
23.202,304.1250363419172,relax
23.203,302.5093477495429,relax
23.204,303.04293164264004,relax
23.205,303.51528323114565,relax
23.206,302.53031086880384,relax
23.207,301.59518757356363,relax
23.208,306.28897614136554,relax
23.209,302.72898622400487,relax
23.21,303.9862756690971,relax
23.211,308.1320024599232,relax
23.212,313.62187910752687,relax
23.213,310.82251977543217,relax
23.214,309.56158965879393,relax
23.215,311.7217562402124,relax
23.216,309.56969353638533,relax
23.217,300.2333473834592,relax
23.218,304.74757341621205,relax
23.219,302.4574583772242,relax
23.22,306.06559040623114,relax
23.221,302.6023285092815,relax
23.222,298.1231491693124,relax
23.223,300.99315607578853,relax
23.224,296.8547804552657,relax
23.225,305.0339692612599,relax
23.226,310.38270445277794,relax
23.227,312.24819776261,relax
23.228,318.2646043293036,relax
23.229,306.3537889987701,relax
23.23,294.79829148125197,relax
23.231,300.8774126890982,relax
23.232,303.2599991246918,relax
23.233,308.36128859612757,relax
23.234,305.771661015241,relax
23.235,304.0271942271982,relax
23.236,301.3980222008742,relax
23.237,293.2124992282877,relax
23.238,301.32446831216726,relax
23.239,319.15015585014476,relax
23.24,302.5992490749724,relax
23.241,294.9620798444861,relax
23.242,300.8945346629545,relax
23.243,316.00881796624986,relax
23.244,319.50841193724943,relax
23.245,319.13192807126063,relax
23.246,312.7206560435104,relax
23.247,293.7564792850631,relax
23.248,297.48946735412835,relax
23.249,304.31970814080114,relax
23.25,306.6752034378723,relax
23.251,307.84600906173654,relax
23.252,306.3470922197255,relax
23.253,310.2423217348196,relax
23.254,304.4096307705179,relax
23.255,308.2572740759046,relax
23.256,300.6832336430408,relax
23.257,302.498568413963,relax
23.258,303.214103261086,relax
23.259,299.78355061217616,relax
23.26,302.4464755463319,relax
23.261,302.00732696837605,relax
23.262,303.785386839977,relax
23.263,307.26149999033186,relax
23.264,312.35000693554133,relax
23.265,311.02417728121924,relax
23.266,310.3424094564739,relax
23.267,309.1857185477796,relax
23.268,308.308540084027,relax
23.269,310.7607643189017,relax
23.27,306.5302730893672,relax
23.271,307.5386855999643,relax
23.272,302.239223103362,relax
23.273,306.7346470905347,relax
23.274,303.66199262357156,relax
23.275,303.82696604768034,relax
23.276,296.19184207410797,relax
23.277,305.094578158684,relax
23.278,305.1583644238366,relax
23.279,308.4334688185466,relax
23.28,307.5324612460298,relax
23.281,311.20474090886665,relax
23.282,313.3294880576003,relax
23.283,314.70505706758826,relax
23.284,308.12551399505173,relax
23.285,306.1696143145507,relax
23.286,304.80567016862227,relax
23.287,306.41882987831724,relax
23.288,304.7722795742951,relax
23.289,303.959355776918,relax
23.29,300.22208371515865,relax
23.291,303.4019094176016,relax
23.292,303.60159094221086,relax
23.293,302.4069456996705,relax
23.294,303.8073654562428,relax
23.295,306.9136814637195,relax
23.296,311.2078394888519,relax
23.297,311.3332734293164,relax
23.298,310.32125866437053,relax
23.299,311.74302199536123,relax
23.3,309.18325124417186,relax
23.301,308.72346747085516,relax
23.302,304.18147164603096,relax
23.303,302.067827261074,relax
23.304,305.19369910348826,relax
23.305,302.34788687979113,relax
23.306,301.52816713970026,relax
23.307,298.28433755519495,relax
23.308,300.28192187611694,relax
23.309,298.06840930165947,relax
23.31,302.3013966333508,relax
23.311,308.6099888780803,relax
23.312,310.8799386522315,relax
23.313,308.15783896688265,relax
23.314,312.3126010380099,relax
23.315,308.9165793781614,relax
23.316,308.99341817750206,relax
23.317,305.0363325384214,relax
23.318,305.67269977955624,relax
23.319,308.089091341949,relax
23.32,304.0940485721279,relax
23.321,301.7446692798645,relax
23.322,305.3169614048847,relax
23.323,300.43734466262845,relax
23.324,302.1910818378103,relax
23.325,298.4066357380002,relax
23.326,308.40901843420255,relax
23.327,308.2810972806154,relax
23.328,309.78604949297227,relax
23.329,310.9682024456893,relax
23.33,308.7860396102477,relax
23.331,311.16689582043955,relax
23.332,311.00246127767525,relax
23.333,311.2441305721917,relax
23.334,306.26920732293166,relax
23.335,304.8228397000118,relax
23.336,301.4407988973491,relax
23.337,305.6382371259902,relax
23.338,301.99200798170534,relax
23.339,302.61874764003085,relax
23.34,302.985305074261,relax
23.341,308.52526709935415,relax
23.342,304.1486184395385,relax
23.343,304.8170143830597,relax
23.344,309.59551147476236,relax
23.345,310.0834286259004,relax
23.346,314.5520740569803,relax
23.347,309.90165211635656,relax
23.348,309.5554854570953,relax
23.349,309.0609095627098,relax
23.35,304.06673550541734,relax
23.351,308.64956798718316,relax
23.352,301.7435955555667,relax
23.353,302.84689160579165,relax
23.354,298.6470392604589,relax
23.355,301.845709923582,relax
23.356,302.1067636109439,relax
23.357,303.1333765963757,relax
23.358,305.08193632618367,relax
23.359,307.693535122434,relax
23.36,311.04469162961794,relax
23.361,311.317579850484,relax
23.362,309.53738734889015,relax
23.363,311.6571492133135,relax
23.364,308.7096390369792,relax
23.365,307.4149281209969,relax
23.366,303.5554949634044,relax
