Time,RawValue,FilteredValue,EnvelopeValue,Label
26.684197902679443,327.0,-22.0,484.0,contract
26.684197902679443,323.0,1.0,0.0,contract
26.687209606170654,341.0,26.0,676.0,contract
26.687209606170654,408.0,45.0,2025.0,contract
26.692365169525146,321.0,54.0,2916.0,contract
26.692365169525146,254.0,32.0,1024.0,contract
26.692365169525146,271.0,-10.0,0.0,contract
26.696497201919556,199.0,-45.0,2025.0,contract
26.696497201919556,404.0,-45.0,2025.0,contract
26.696497201919556,326.0,-5.0,0.0,contract
26.69951629638672,322.0,25.0,625.0,contract
26.69951629638672,276.0,21.0,441.0,contract
26.70328664779663,289.0,0.0,0.0,contract
26.70432162284851,298.0,-13.0,169.0,contract
26.70432162284851,297.0,-12.0,144.0,contract
26.708316802978516,295.0,-7.0,0.0,contract
26.708316802978516,293.0,-2.0,0.0,contract
26.708316802978516,316.0,2.0,0.0,contract
26.712421655654907,353.0,13.0,169.0,contract
26.712421655654907,312.0,24.0,576.0,contract
26.712421655654907,303.0,21.0,441.0,contract
26.71631145477295,279.0,6.0,0.0,contract
26.71631145477295,298.0,-7.0,0.0,contract
26.720410346984863,301.0,-10.0,0.0,contract
26.720410346984863,365.0,0.0,0.0,contract
26.720410346984863,349.0,20.0,400.0,contract
26.725138425827026,334.0,30.0,900.0,contract
26.725138425827026,303.0,20.0,400.0,contract
26.725138425827026,256.0,-3.0,0.0,contract
26.728925466537476,275.0,-29.0,841.0,contract
26.728925466537476,331.0,-32.0,1024.0,contract
26.728925466537476,458.0,2.0,0.0,contract
26.73194646835327,247.0,35.0,1225.0,contract
26.732946395874023,165.0,7.0,0.0,contract
26.737430334091187,425.0,-31.0,961.0,contract
26.737430334091187,429.0,0.0,0.0,contract
26.737430334091187,288.0,43.0,1849.0,contract
26.741249084472656,130.0,14.0,196.0,contract
26.741249084472656,326.0,-44.0,1936.0,contract
26.741249084472656,291.0,-49.0,2401.0,contract
26.74519920349121,319.0,-18.0,324.0,contract
26.74519920349121,290.0,3.0,0.0,contract
26.749268770217896,326.0,12.0,144.0,contract
26.749268770217896,323.0,16.0,256.0,contract
26.749268770217896,286.0,14.0,196.0,contract
26.753291130065918,298.0,3.0,0.0,contract
26.753291130065918,332.0,-1.0,0.0,contract
26.753291130065918,319.0,3.0,0.0,contract
26.75761342048645,325.0,10.0,0.0,contract
26.75761342048645,352.0,14.0,196.0,contract
26.75761342048645,297.0,16.0,256.0,contract
26.76061487197876,311.0,6.0,0.0,contract
26.761608600616455,314.0,-2.0,0.0,contract
26.761608600616455,224.0,-12.0,144.0,contract
26.7655029296875,383.0,-16.0,256.0,contract
26.7655029296875,352.0,6.0,0.0,contract
26.769620180130005,215.0,18.0,324.0,contract
26.769620180130005,288.0,-3.0,0.0,contract
26.769620180130005,294.0,-18.0,324.0,contract
26.773245811462402,330.0,-7.0,0.0,contract
26.773245811462402,315.0,10.0,0.0,contract
26.773245811462402,340.0,22.0,484.0,contract
26.777360916137695,229.0,14.0,196.0,contract
26.777360916137695,289.0,-9.0,0.0,contract
26.777360916137695,342.0,-16.0,256.0,contract
26.7813503742218,351.0,3.0,0.0,contract
26.7813503742218,336.0,22.0,484.0,contract
26.785385370254517,311.0,24.0,576.0,contract
26.785385370254517,278.0,6.0,0.0,contract
26.786352396011353,319.0,-12.0,144.0,contract
26.79027509689331,267.0,-18.0,324.0,contract
26.79027509689331,299.0,-19.0,361.0,contract
26.79027509689331,295.0,-14.0,196.0,contract
26.7941997051239,293.0,-6.0,0.0,contract
26.7941997051239,336.0,5.0,0.0,contract
26.7941997051239,388.0,25.0,625.0,contract
26.79820418357849,362.0,48.0,2304.0,contract
26.79820418357849,289.0,46.0,2116.0,contract
26.802271366119385,409.0,31.0,961.0,contract
26.802271366119385,161.0,8.0,0.0,contract
26.802271366119385,264.0,-33.0,1089.0,contract
26.80620265007019,192.0,-65.0,4225.0,contract
26.80620265007019,253.0,-68.0,4624.0,contract
26.811150312423706,304.0,-46.0,2116.0,contract
26.811150312423706,292.0,-10.0,0.0,contract
26.811150312423706,332.0,16.0,256.0,contract
26.814995527267456,309.0,29.0,841.0,contract
26.814995527267456,325.0,29.0,841.0,contract
26.814995527267456,331.0,25.0,625.0,contract
26.819013595581055,318.0,21.0,441.0,contract
26.819013595581055,351.0,18.0,324.0,contract
26.82337737083435,302.0,16.0,256.0,contract
26.823588609695435,269.0,3.0,0.0,contract
26.823588609695435,263.0,-15.0,225.0,contract
26.827242374420166,256.0,-28.0,784.0,contract
26.827242374420166,329.0,-22.0,484.0,contract
26.827242374420166,415.0,13.0,169.0,contract
26.831249713897705,352.0,55.0,3025.0,contract
26.831249713897705,287.0,60.0,3600.0,contract
26.835724592208862,276.0,26.0,676.0,contract
26.835724592208862,307.0,-5.0,0.0,contract
26.835724592208862,314.0,-12.0,144.0,contract
26.839389085769653,303.0,-5.0,0.0,contract
26.839389085769653,318.0,0.0,0.0,contract
26.839389085769653,272.0,-3.0,0.0,contract
26.84356951713562,329.0,-8.0,0.0,contract
26.84356951713562,288.0,-10.0,0.0,contract
26.84356951713562,276.0,-14.0,196.0,contract
26.847394943237305,339.0,-16.0,256.0,contract
26.847394943237305,287.0,-9.0,0.0,contract
26.847394943237305,340.0,-2.0,0.0,contract
26.851394414901733,316.0,4.0,0.0,contract
26.851394414901733,288.0,4.0,0.0,contract
26.851394414901733,311.0,-2.0,0.0,contract
26.85539698600769,363.0,2.0,0.0,contract
26.85539698600769,324.0,16.0,256.0,contract
26.860322952270508,249.0,15.0,225.0,contract
26.860322952270508,364.0,2.0,0.0,contract
26.860322952270508,314.0,7.0,0.0,contract
26.864395141601562,222.0,5.0,0.0,contract
26.864395141601562,180.0,-26.0,676.0,contract
26.864395141601562,340.0,-44.0,1936.0,contract
26.86740231513977,378.0,-11.0,121.0,contract
26.86740231513977,353.0,38.0,1444.0,contract
26.87214493751526,300.0,51.0,2601.0,contract
26.87214493751526,226.0,22.0,484.0,contract
26.87214493751526,366.0,-11.0,121.0,contract
26.87668776512146,292.0,-13.0,169.0,contract
26.87668776512146,286.0,-8.0,0.0,contract
26.87668776512146,298.0,-12.0,144.0,contract
26.880175590515137,295.0,-14.0,196.0,contract
26.880175590515137,290.0,-13.0,169.0,contract
26.880175590515137,326.0,-6.0,0.0,contract
26.883799076080322,393.0,13.0,169.0,contract
26.883799076080322,456.0,49.0,2401.0,contract
26.888686418533325,289.0,68.0,4624.0,contract
26.888686418533325,77.0,16.0,256.0,contract
26.888686418533325,244.0,-68.0,4624.0,contract
26.892196655273438,317.0,-83.0,6889.0,contract
26.892196655273438,276.0,-34.0,1156.0,contract
26.892196655273438,252.0,2.0,0.0,contract
26.89619541168213,332.0,15.0,225.0,contract
26.89619541168213,431.0,40.0,1600.0,contract
26.900321006774902,369.0,72.0,5184.0,contract
26.900321006774902,288.0,68.0,4624.0,contract
26.90119695663452,269.0,23.0,529.0,contract
26.904194593429565,270.0,-21.0,441.0,contract
26.904194593429565,289.0,-41.0,1681.0,contract
26.908242225646973,305.0,-36.0,1296.0,contract
26.908242225646973,312.0,-18.0,324.0,contract
26.9092538356781,292.0,-6.0,0.0,contract
26.91324019432068,306.0,-2.0,0.0,contract
26.91324019432068,318.0,0.0,0.0,contract
26.91324019432068,286.0,2.0,0.0,contract
26.917322635650635,328.0,5.0,0.0,contract
26.917322635650635,350.0,14.0,196.0,contract
26.917322635650635,340.0,28.0,784.0,contract
26.92123532295227,334.0,34.0,1156.0,contract
26.92123532295227,233.0,19.0,361.0,contract
26.925237894058228,365.0,0.0,0.0,contract
26.925237894058228,381.0,8.0,0.0,contract
26.925237894058228,261.0,23.0,529.0,contract
26.929516792297363,207.0,-2.0,0.0,contract
26.929516792297363,326.0,-34.0,1156.0,contract
26.929516792297363,268.0,-34.0,1156.0,contract
26.933520317077637,347.0,-15.0,225.0,contract
26.933520317077637,358.0,8.0,0.0,contract
26.933520317077637,252.0,17.0,289.0,contract
26.937520503997803,275.0,-2.0,0.0,contract
26.937520503997803,309.0,-22.0,484.0,contract
26.941457748413086,268.0,-23.0,529.0,contract
26.941457748413086,300.0,-19.0,361.0,contract
26.941457748413086,365.0,-4.0,0.0,contract
26.945583820343018,326.0,19.0,361.0,contract
26.945583820343018,313.0,27.0,729.0,contract
26.945583820343018,340.0,22.0,484.0,contract
26.94956088066101,317.0,18.0,324.0,contract
26.94956088066101,314.0,13.0,169.0,contract
26.95357394218445,333.0,10.0,0.0,contract
26.95357394218445,383.0,18.0,324.0,contract
26.95357394218445,162.0,12.0,144.0,contract
26.958241939544678,345.0,-15.0,225.0,contract
26.958241939544678,235.0,-28.0,784.0,contract
26.958241939544678,285.0,-25.0,625.0,contract
26.962259769439697,306.0,-16.0,256.0,contract
26.962259769439697,303.0,-1.0,0.0,contract
26.962259769439697,302.0,7.0,0.0,contract
26.965425491333008,304.0,9.0,0.0,contract
26.966423273086548,278.0,2.0,0.0,contract
26.970422744750977,342.0,0.0,0.0,contract
26.970422744750977,316.0,4.0,0.0,contract
26.970422744750977,304.0,9.0,0.0,contract
26.97465705871582,353.0,8.0,0.0,contract
26.97465705871582,369.0,17.0,289.0,contract
26.97465705871582,292.0,22.0,484.0,contract
26.9788179397583,314.0,9.0,0.0,contract
26.9788179397583,324.0,-1.0,0.0,contract
26.9788179397583,252.0,-9.0,0.0,contract
26.98284149169922,241.0,-23.0,529.0,contract
26.98284149169922,271.0,-34.0,1156.0,contract
26.98284149169922,238.0,-30.0,900.0,contract
26.98666763305664,329.0,-15.0,225.0,contract
26.98666763305664,318.0,11.0,121.0,contract
26.991071701049805,327.0,34.0,1156.0,contract
26.991071701049805,297.0,37.0,1369.0,contract
26.991071701049805,340.0,29.0,841.0,contract
26.994922637939453,371.0,28.0,784.0,contract
26.994922637939453,379.0,37.0,1369.0,contract
26.999195337295532,353.0,39.0,1521.0,contract
26.999195337295532,337.0,26.0,676.0,contract
26.999195337295532,346.0,6.0,0.0,contract
27.003668546676636,195.0,-21.0,441.0,contract
27.003668546676636,295.0,-54.0,2916.0,contract
27.003668546676636,250.0,-64.0,4096.0,contract
27.00710678100586,210.0,-59.0,3481.0,contract
27.00710678100586,332.0,-45.0,2025.0,contract
27.01162576675415,249.0,-18.0,324.0,contract
27.01162576675415,282.0,0.0,0.0,contract
27.01162576675415,257.0,4.0,0.0,contract
27.015792846679688,283.0,5.0,0.0,contract
27.015792846679688,373.0,19.0,361.0,contract
27.015792846679688,363.0,47.0,2209.0,contract
27.019046545028687,313.0,60.0,3600.0,contract
27.019046545028687,458.0,59.0,3481.0,contract
27.023983001708984,307.0,58.0,3364.0,contract
27.023983001708984,325.0,34.0,1156.0,contract
27.023983001708984,245.0,-6.0,0.0,contract
27.028109312057495,205.0,-49.0,2401.0,contract
27.028109312057495,288.0,-72.0,5184.0,contract
27.028109312057495,286.0,-57.0,3249.0,contract
27.03198504447937,325.0,-23.0,529.0,contract
27.03198504447937,363.0,11.0,121.0,contract
27.036128282546997,351.0,38.0,1444.0,contract
27.036128282546997,311.0,42.0,1764.0,contract
27.036128282546997,265.0,22.0,484.0,contract
27.04047656059265,321.0,-1.0,0.0,contract
27.04047656059265,277.0,-9.0,0.0,contract
27.04047656059265,303.0,-9.0,0.0,contract
27.043921947479248,345.0,0.0,0.0,contract
27.043921947479248,337.0,17.0,289.0,contract
27.043921947479248,234.0,15.0,225.0,contract
27.048040866851807,329.0,-3.0,0.0,contract
27.048040866851807,439.0,4.0,0.0,contract
27.05293369293213,297.0,31.0,961.0,contract
27.05293369293213,235.0,17.0,289.0,contract
27.05293369293213,199.0,-31.0,961.0,contract
27.05673885345459,283.0,-65.0,4225.0,contract
27.05673885345459,198.0,-64.0,4096.0,contract
27.05673885345459,286.0,-48.0,2304.0,contract
27.060580730438232,383.0,-12.0,144.0,contract
27.060580730438232,359.0,38.0,1444.0,contract
27.06474804878235,237.0,53.0,2809.0,contract
27.06474804878235,403.0,36.0,1296.0,contract
27.06474804878235,378.0,39.0,1521.0,contract
27.068580627441406,261.0,40.0,1600.0,contract
27.068580627441406,305.0,14.0,196.0,contract
27.068580627441406,324.0,-5.0,0.0,contract
27.072580575942993,351.0,0.0,0.0,contract
27.072580575942993,323.0,12.0,144.0,contract
27.077272653579712,220.0,4.0,0.0,contract
27.077272653579712,316.0,-18.0,324.0,contract
27.077272653579712,217.0,-31.0,961.0,contract
27.081451654434204,337.0,-28.0,784.0,contract
27.081451654434204,345.0,-6.0,0.0,contract
27.081451654434204,194.0,8.0,0.0,contract
27.084967374801636,280.0,-10.0,0.0,contract
27.084967374801636,296.0,-20.0,400.0,contract
27.08875823020935,266.0,-11.0,121.0,contract
27.08875823020935,360.0,3.0,0.0,contract
27.08875823020935,410.0,33.0,1089.0,contract
27.093456268310547,489.0,74.0,5476.0,contract
27.093456268310547,277.0,87.0,7569.0,contract
27.093456268310547,115.0,23.0,529.0,contract
27.09736680984497,286.0,-64.0,4096.0,contract
27.09736680984497,220.0,-89.0,7921.0,contract
27.101373195648193,304.0,-63.0,3969.0,contract
27.101373195648193,339.0,-18.0,324.0,contract
27.101373195648193,367.0,28.0,784.0,contract
27.105330228805542,291.0,49.0,2401.0,contract
27.105330228805542,272.0,34.0,1156.0,contract
27.105330228805542,281.0,5.0,0.0,contract
27.109362602233887,363.0,-2.0,0.0,contract
27.109362602233887,294.0,10.0,0.0,contract
27.109362602233887,324.0,17.0,289.0,contract
27.113364458084106,341.0,17.0,289.0,contract
27.113364458084106,343.0,20.0,400.0,contract
27.118117570877075,329.0,21.0,441.0,contract
27.118117570877075,385.0,20.0,400.0,contract
27.118117570877075,306.0,19.0,361.0,contract
27.121379613876343,256.0,0.0,0.0,contract
27.122124910354614,237.0,-35.0,1225.0,contract
27.126298904418945,268.0,-55.0,3025.0,contract
27.126298904418945,331.0,-44.0,1936.0,contract
27.126298904418945,344.0,-9.0,0.0,contract
27.130440950393677,131.0,0.0,0.0,contract
27.130440950393677,293.0,-27.0,729.0,contract
27.130440950393677,412.0,-19.0,361.0,contract
27.134746313095093,182.0,12.0,144.0,contract
27.134746313095093,341.0,11.0,121.0,contract
27.134746313095093,294.0,7.0,0.0,contract
27.13773488998413,339.0,16.0,256.0,contract
27.13773488998413,428.0,34.0,1156.0,contract
27.142902851104736,323.0,54.0,2916.0,contract
27.142902851104736,281.0,39.0,1521.0,contract
27.142902851104736,240.0,-3.0,0.0,contract
27.146671772003174,273.0,-38.0,1444.0,contract
27.146671772003174,395.0,-32.0,1024.0,contract
27.146671772003174,341.0,7.0,0.0,contract
27.15069031715393,243.0,23.0,529.0,contract
27.15069031715393,262.0,0.0,0.0,contract
27.155189990997314,303.0,-20.0,400.0,contract
27.155189990997314,308.0,-14.0,196.0,contract
27.155189990997314,313.0,3.0,0.0,contract
27.159323930740356,360.0,19.0,361.0,contract
27.159323930740356,336.0,33.0,1089.0,contract
27.159323930740356,301.0,31.0,961.0,contract
27.162342309951782,359.0,19.0,361.0,contract
27.162342309951782,199.0,0.0,0.0,contract
27.167027235031128,336.0,-23.0,529.0,contract
27.167027235031128,297.0,-26.0,676.0,contract
27.167027235031128,268.0,-17.0,289.0,contract
27.170241117477417,286.0,-18.0,324.0,contract
27.171346187591553,283.0,-19.0,361.0,contract
27.171346187591553,285.0,-15.0,225.0,contract
27.174338579177856,318.0,-7.0,0.0,contract
27.175339937210083,426.0,16.0,256.0,contract
27.179946660995483,327.0,47.0,2209.0,contract
27.179946660995483,168.0,29.0,841.0,contract
27.179946660995483,300.0,-19.0,361.0,contract
27.18316650390625,312.0,-33.0,1089.0,contract
27.18398904800415,330.0,-8.0,0.0,contract
27.18398904800415,307.0,16.0,256.0,contract
27.186978101730347,310.0,23.0,529.0,contract
27.186978101730347,316.0,20.0,400.0,contract
27.186978101730347,305.0,15.0,225.0,contract
27.19148325920105,316.0,10.0,0.0,contract
27.19148325920105,293.0,5.0,0.0,contract
27.195778369903564,246.0,-6.0,0.0,contract
27.195778369903564,308.0,-19.0,361.0,contract
27.195778369903564,380.0,-7.0,0.0,contract
27.20002555847168,364.0,23.0,529.0,contract
27.20002555847168,446.0,50.0,2500.0,contract
27.20002555847168,360.0,62.0,3844.0,contract
27.203035354614258,246.0,35.0,1225.0,contract
27.20403528213501,161.0,-32.0,1024.0,contract
27.20789885520935,265.0,-87.0,7569.0,contract
27.20789885520935,203.0,-91.0,8281.0,contract
27.20789885520935,349.0,-58.0,3364.0,contract
27.211719512939453,328.0,-5.0,0.0,contract
27.211719512939453,320.0,34.0,1156.0,contract
27.211719512939453,351.0,46.0,2116.0,contract
27.2157199382782,280.0,41.0,1681.0,contract
27.2157199382782,234.0,12.0,144.0,contract
27.220752239227295,276.0,-17.0,289.0,contract
27.220752239227295,360.0,-17.0,289.0,contract
27.220752239227295,385.0,16.0,256.0,contract
27.223719358444214,312.0,41.0,1681.0,contract
27.223719358444214,307.0,33.0,1089.0,contract
